pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
pmf:9250;thesis;Analysis of algorithms for sparse signal representation;Stipic, Dorian;Drmac, Zlatko;;24.7.2020;https://urn.nsk.hr/urn:nbn:hr:217:457053;;;;
pharma:2355;thesis;Thiazolidine ring-opening and deprotonation. Computational DFT study;Kuvek, Tea;Vrcek, Valerije;;14.7.1905;https://urn.nsk.hr/urn:nbn:hr:163:568371;;;;
pmf:10257;thesis;Analysis of tau protein spread in rat brain as a model of Alzheimer's disease;Horvat Velic, Emina;"Šimic, Goran; ";;17.11.2021;https://urn.nsk.hr/urn:nbn:hr:217:244721;;;;
fkit:1711;thesis;Preparation and photophysical characterisation of pH sensitive sol-gel thin films doped with curcumin;Šiprak, Marija;Steinberg, Ivana;;20.9.2022;https://urn.nsk.hr/urn:nbn:hr:149:033117;;;;
fizos:95;thesis;Transmitance Simulations for the Atmosphere with Clouds;Pecimotika, Mario;Hrupec, Dario;;21.11.2018;https://urn.nsk.hr/urn:nbn:hr:160:075704;;;;
pmf:10233;thesis;Ground-state Fidelity in frustrated and unfrustrated models;Brtan, Daria;"Giampaolo, Salvatore Marco; ";;20.9.2021;https://urn.nsk.hr/urn:nbn:hr:217:032156;;;;
pmf:10206;thesis;Towards quantum glasses;Delic, Karlo;"Giampaolo, Salvatore Marco; ";;23.9.2021;https://urn.nsk.hr/urn:nbn:hr:217:983766;;;;
phyri:227;thesis;MUonE experiment: holographic alignment monitor for tracking detector modules;Arena, Aldo;"Karuza, Marin; ";;27.9.2022;https://urn.nsk.hr/urn:nbn:hr:194:550110;;;;
pmfst:799;thesis;Microfluidic chip for the sample derivatization prior to mass spectrometry;Mardešic, Ivan;"Bilušic, Ante; ";;12.9.2019;https://urn.nsk.hr/urn:nbn:hr:166:872656;;;;
pmf:10737;thesis;Accelerating Numerical Simulation of Multiple Scattering for Radiation Transport;Požgaj, Stjepan;Drmac, Zlatko;;21.7.2022;https://urn.nsk.hr/urn:nbn:hr:217:654904;;;;
pmfst:1532;thesis;Spectro-astrometry with MEGARA/GTC: a pilot study to search for protoplanets;Brcic, Paula;"Mužic, Koraljka; ; ";;29.9.2022;https://urn.nsk.hr/urn:nbn:hr:166:624147;;;;
rgn:1903;thesis;Žune Ba-F epithermal deposit : mineralogical and geochemical characteristics;Roglic, Martin;Borojevic Šoštaric, Sibila;;14.1.2022;https://urn.nsk.hr/urn:nbn:hr:169:184241;;;;
pmf:9630;thesis;Emergent Gravitation;Krhac, Kaja;Smolic, Ivica;;22.2.2021;https://urn.nsk.hr/urn:nbn:hr:217:166781;;;;
pmf:8324;thesis;Kloniranje, ekspresija i karakterizacija fosforiboziltransferaza iz bakterije Escherichia coli;Maršic, Tin;"Loderer, Christoph; ";;25.9.2019;https://urn.nsk.hr/urn:nbn:hr:217:694712;;;;
pmf:12211;thesis;Detection of somatic mutations and mutational signatures in pancreatic cancer using RNA-sequencing data;Pantlik, Jan;"Karlic, Rosa; ";;27.9.2023;https://urn.nsk.hr/urn:nbn:hr:217:857654;;;;
pmfst:1558;thesis;Causality and Black Holes;Jeric Miloš, Duje;Vlah, Zvonimir;;16.11.2022;https://urn.nsk.hr/urn:nbn:hr:166:596527;;;;
forenzikast:34;thesis;Testing of the UV light effect on the automotive paints by FTIR spectroscopy;Vodišek, Terezija;"Ljubenkov, Ivica; ";;10.7.1905;https://urn.nsk.hr/urn:nbn:hr:227:617516;;;;
pmf:411;thesis;Comparison of hot cores using millimetre spectroscopy;Tisanic, Krešimir;Smolcic, Vernesa;;9.5.2016;https://urn.nsk.hr/urn:nbn:hr:217:550235;;;;
phyri:275;thesis;Search for Lorentz invariance violation using gamma-rays from Markarian 421;Blaževic, Luka;Terzic, Tomislav;;15.7.1905;https://urn.nsk.hr/urn:nbn:hr:194:733622;;;;
pmf:10426;thesis;Testing of candidate genes for compound biosynthesis in Arnica montana;Mrakovcic, Nikolina;"Noll, Gundula; ";;28.2.2022;https://urn.nsk.hr/urn:nbn:hr:217:279243;;;;
pmfst:1388;thesis;Synthesis, structural studies, molecular modeling and characterization of helminth antimicrobial peptides;Copac, Roko;"Zoranic, Larisa; ; ; ";;18.3.2022;https://urn.nsk.hr/urn:nbn:hr:166:228687;;;;
pmfst:1872;thesis;Preliminary analysis of wind profiles measured with an MFAS-SODAR at Split Airport in the period June-November 2022;Jakic, Jure;Šepic, Jadranka;;27.3.2024;https://urn.nsk.hr/urn:nbn:hr:166:911924;;;;
pmfst:1705;thesis;Search for Higgs boson pair production through vector boson fusion with the ATLAS detector at the LHC;Mihovilovic, Marko;"Šculac, Toni; ";;13.9.2023;https://urn.nsk.hr/urn:nbn:hr:166:188249;;;;
mathos:830;thesis;Yield Curve Modeling And Estimation;Botkuljak, Juraj;Grahovac, Danijel;;24.4.2024;https://urn.nsk.hr/urn:nbn:hr:126:054359;;;;
pmf:12544;thesis;Entropy of black holes: quantum aspects;Hrelja, Axel;"Juric, Tajron; ";;18.12.2023;https://urn.nsk.hr/urn:nbn:hr:217:124586;;;;
pmfst:1885;thesis;Analysis of wind characteristics during Bora events in the southern region of Croatia;Topic, Roko;Kovac, Žarko;;12.4.2024;https://urn.nsk.hr/urn:nbn:hr:166:274475;;;;
pmfst:1884;thesis;The role of specific structural motifs in mode of action of antimicrobial peptide TSO8 from Taenia solium;Begic, Anamarija;Zoranic, Larisa;;11.4.2024;https://urn.nsk.hr/urn:nbn:hr:166:877803;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
